date,symbol,close
2020-06-17,JPM,102.06
2020-06-18,JPM,99.48
2020-06-19,JPM,98.94
2020-06-22,JPM,97.81
2020-06-23,JPM,96.75
2020-06-24,JPM,97.93
2020-06-25,JPM,94.66
2020-06-26,JPM,97.96
2020-06-29,JPM,92.59
2020-06-30,JPM,93.0
2020-07-01,JPM,94.06
2020-07-02,JPM,93.36
2020-07-06,JPM,92.66
2020-07-07,JPM,95.0
2020-07-08,JPM,92.32
2020-07-09,JPM,93.3
2020-07-10,JPM,91.28
2020-07-13,JPM,96.27
2020-07-14,JPM,97.65
2020-07-15,JPM,98.21
2020-07-16,JPM,99.73
2020-07-17,JPM,100.01
2020-07-20,JPM,98.16
2020-07-21,JPM,97.3
2020-07-22,JPM,99.41
2020-07-23,JPM,98.69
2020-07-24,JPM,98.98
2020-07-27,JPM,98.28
2020-07-28,JPM,96.9
2020-07-29,JPM,97.32
2020-07-30,JPM,99.68
2020-07-31,JPM,97.02
2020-08-03,JPM,96.64
2020-08-04,JPM,96.1
2020-08-05,JPM,95.55
2020-08-06,JPM,97.21
2020-08-07,JPM,97.24
2020-08-10,JPM,99.38
2020-08-11,JPM,100.64
2020-08-12,JPM,103.82
2020-08-13,JPM,102.94
2020-08-14,JPM,102.37
2020-08-17,JPM,102.41
2020-08-18,JPM,99.71
2020-08-19,JPM,98.32
2020-08-20,JPM,98.55
2020-08-21,JPM,97.37
2020-08-24,JPM,97.32
2020-08-25,JPM,100.06
2020-08-26,JPM,100.5
2020-08-27,JPM,99.09
2020-08-28,JPM,102.35
2020-08-31,JPM,102.77
2020-09-01,JPM,100.19
2020-09-02,JPM,100.14
2020-09-03,JPM,101.65
2020-09-04,JPM,101.33
2020-09-08,JPM,103.52
2020-09-09,JPM,99.92
2020-09-10,JPM,100.87
2020-09-11,JPM,99.83
2020-09-14,JPM,101.07
2020-09-15,JPM,102.47
2020-09-16,JPM,99.28
2020-09-17,JPM,99.7
2020-09-18,JPM,98.56
2020-09-21,JPM,98.35
2020-09-22,JPM,95.31
2020-09-23,JPM,94.27
2020-09-24,JPM,92.74
2020-09-25,JPM,92.66
2020-09-28,JPM,93.47
2020-09-29,JPM,96.16
2020-09-30,JPM,95.35
2020-10-01,JPM,96.27
2020-10-02,JPM,96.97
2020-10-05,JPM,98.005
2020-10-06,JPM,99.04
2020-10-07,JPM,98.02
2020-10-08,JPM,99.73
2020-10-09,JPM,101.78
2020-10-12,JPM,101.2
2020-10-13,JPM,102.44
2020-10-14,JPM,100.78
2020-10-15,JPM,100.22
2020-10-16,JPM,101.72
2020-10-30,JPM,97.17
2020-11-02,JPM,98.04
2020-11-03,JPM,100.25
2020-11-04,JPM,103.41
2020-11-05,JPM,100.25
2020-11-06,JPM,104.35
2020-11-09,JPM,102.96
2020-11-10,JPM,116.9
2020-11-11,JPM,116.52
2020-11-12,JPM,114.78
2020-11-13,JPM,113.37
2020-11-16,JPM,114.08
2020-11-17,JPM,117.3
2020-11-18,JPM,116.11
2020-11-19,JPM,115.25
2020-11-20,JPM,115.56
2020-11-23,JPM,114.57
2020-11-24,JPM,117.87
2020-11-25,JPM,123.32
2020-11-27,JPM,122.03
2020-11-30,JPM,121.22
2020-12-01,JPM,117.88
2020-12-02,JPM,119.74
2020-12-03,JPM,122.04
2020-12-04,JPM,121.24
2020-12-07,JPM,122.34
2020-12-08,JPM,121.88
2020-12-09,JPM,122.0
2020-12-10,JPM,121.05
2020-12-11,JPM,120.27
2020-12-14,JPM,119.56
2020-12-15,JPM,118.3
2020-12-16,JPM,120.32
2020-12-17,JPM,120.67
2020-12-18,JPM,119.67
2020-12-21,JPM,119.08
2020-12-22,JPM,123.55
2020-12-23,JPM,121.67
2020-12-24,JPM,125.07
2020-12-28,JPM,124.52
2020-12-29,JPM,125.34
2020-12-30,JPM,125.01
2020-12-31,JPM,125.36
2021-01-04,JPM,127.07
2021-01-05,JPM,126.36
2021-01-06,JPM,125.65
2021-01-07,JPM,131.55
2021-01-08,JPM,135.87
2021-01-11,JPM,136.02
2021-01-12,JPM,138.05
2021-01-13,JPM,140.22
2021-01-14,JPM,140.35
2021-01-15,JPM,141.17
2021-01-19,JPM,138.64
2021-01-20,JPM,138.04
2021-01-21,JPM,135.97
2021-01-22,JPM,134.83
2021-01-25,JPM,133.79
2021-01-26,JPM,132.12
2021-01-27,JPM,131.58
2021-01-28,JPM,127.86
2021-01-29,JPM,130.11
2021-02-01,JPM,128.67
2021-02-02,JPM,129.62
2021-02-03,JPM,133.61
2021-02-04,JPM,135.14
2021-02-05,JPM,138.25
2021-02-08,JPM,137.98
2021-02-09,JPM,140.14
2021-02-10,JPM,139.58
2021-02-12,JPM,139.27
2021-02-16,JPM,141.25
2021-02-17,JPM,144.65
2021-02-18,JPM,145.1
2021-02-19,JPM,145.59
2021-02-22,JPM,148.02
2021-02-23,JPM,149.41
2021-02-24,JPM,150.61
2021-02-25,JPM,153.26
2021-02-26,JPM,151.18
2021-03-01,JPM,147.17
2021-03-02,JPM,150.5
2021-03-03,JPM,150.01
2021-03-04,JPM,152.91
2021-03-05,JPM,150.56
2021-03-08,JPM,150.91
2021-03-09,JPM,152.91
2021-03-10,JPM,151.83
2021-03-15,JPM,156.15
2021-03-16,JPM,155.37
2021-03-17,JPM,153.51
2021-03-18,JPM,155.09
2021-03-19,JPM,157.65
2021-03-22,JPM,155.14
2021-03-23,JPM,150.97
2021-03-24,JPM,149.46
2021-03-25,JPM,150.62
2021-03-26,JPM,152.55
2021-03-29,JPM,155.09
2021-04-01,JPM,152.23
2021-04-05,JPM,153.71
2021-04-06,JPM,153.62
2021-04-07,JPM,152.54
2021-04-08,JPM,154.93
2021-04-09,JPM,155.12
2021-04-12,JPM,156.28
2021-04-13,JPM,155.95
2021-04-14,JPM,154.09
2021-04-15,JPM,151.21
2021-04-16,JPM,152.17
2021-04-19,JPM,153.3
2021-04-20,JPM,152.65
2021-04-21,JPM,149.27
2021-04-22,JPM,150.54
2021-04-23,JPM,147.37
2021-04-26,JPM,150.19
2021-04-27,JPM,150.56
2021-04-28,JPM,151.25
2021-04-29,JPM,152.23
2021-04-30,JPM,155.19
2021-05-03,JPM,153.81
2021-05-04,JPM,153.36
2021-05-05,JPM,155.48
2021-05-06,JPM,157.52
2021-05-07,JPM,160.69
2021-05-10,JPM,161.24
2021-05-11,JPM,161.22
2021-05-12,JPM,158.54
2021-05-13,JPM,157.45
2021-05-14,JPM,161.5
2021-05-17,JPM,164.01
2021-05-18,JPM,164.67
2021-05-19,JPM,162.35
2021-05-20,JPM,161.11
2021-05-21,JPM,160.83
2021-05-24,JPM,162.66
2021-05-25,JPM,163.54
2021-05-26,JPM,161.85
2021-05-27,JPM,161.83
2021-05-28,JPM,164.35
2021-06-01,JPM,164.24
2021-06-02,JPM,166.05
2021-06-03,JPM,166.06
2021-06-04,JPM,166.17
2021-06-07,JPM,166.44
2021-06-08,JPM,165.66
2021-06-09,JPM,165.0
2021-06-10,JPM,162.94
2021-06-11,JPM,160.4
2021-06-14,JPM,160.29
2021-06-15,JPM,157.57
2021-06-16,JPM,155.18
2021-06-17,JPM,156.27
2021-06-18,JPM,151.76
2021-06-21,JPM,147.92
2021-06-22,JPM,150.43
2021-06-23,JPM,150.21
2021-06-24,JPM,151.12
2021-06-25,JPM,152.51
2021-06-28,JPM,154.05
2021-06-29,JPM,154.33
2021-06-30,JPM,154.14
2020-06-17,GS,209.59
2020-06-18,GS,206.19
2020-06-19,GS,203.84
2020-06-22,GS,201.63
2020-06-23,GS,203.42
2020-06-24,GS,204.78
2020-06-25,GS,198.02
2020-06-26,GS,207.1
2020-06-29,GS,189.19
2020-06-30,GS,193.47
2020-07-01,GS,197.62
2020-07-02,GS,197.57
2020-07-06,GS,197.4
2020-07-07,GS,207.36
2020-07-08,GS,199.36
2020-07-09,GS,202.25
2020-07-10,GS,196.83
2020-07-13,GS,205.56
2020-07-14,GS,208.88
2020-07-15,GS,214.01
2020-07-16,GS,216.9
2020-07-17,GS,214.67
2020-07-20,GS,211.41
2020-07-21,GS,211.71
2020-07-22,GS,212.02
2020-07-23,GS,206.0
2020-07-24,GS,203.02
2020-07-27,GS,201.47
2020-07-28,GS,203.02
2020-07-29,GS,201.62
2020-07-30,GS,202.58
2020-07-31,GS,199.53
2020-08-03,GS,197.96
2020-08-04,GS,199.39
2020-08-05,GS,201.64
2020-08-06,GS,204.52
2020-08-07,GS,204.25
2020-08-10,GS,208.27
2020-08-11,GS,209.38
2020-08-12,GS,211.06
2020-08-13,GS,212.13
2020-08-14,GS,208.39
2020-08-17,GS,207.97
2020-08-18,GS,203.07
2020-08-19,GS,201.31
2020-08-20,GS,203.02
2020-08-21,GS,201.85
2020-08-24,GS,202.43
2020-08-25,GS,207.34
2020-08-26,GS,206.0
2020-08-27,GS,207.22
2020-08-28,GS,210.15
2020-08-31,GS,207.51
2020-09-01,GS,204.87
2020-09-02,GS,205.46
2020-09-03,GS,210.04
2020-09-04,GS,207.56
2020-09-08,GS,210.94
2020-09-09,GS,202.48
2020-09-10,GS,202.22
2020-09-11,GS,200.01
2020-09-14,GS,200.92
2020-09-15,GS,201.34
2020-09-16,GS,198.0
2020-09-17,GS,200.68
2020-09-18,GS,194.83
2020-09-21,GS,194.86
2020-09-22,GS,194.0
2020-09-23,GS,191.62
2020-09-24,GS,186.12
2020-09-25,GS,195.11
2020-09-28,GS,194.95
2020-09-29,GS,199.07
2020-09-30,GS,196.79
2020-10-01,GS,200.97
2020-10-02,GS,198.55
2020-10-05,GS,199.9
2020-10-06,GS,201.8
2020-10-07,GS,201.09
2020-10-08,GS,203.6
2020-10-09,GS,207.98
2020-10-12,GS,207.54
2020-10-13,GS,214.12
2020-10-14,GS,210.81
2020-10-15,GS,211.23
2020-10-16,GS,208.6
2020-10-30,GS,189.94
2020-11-02,GS,189.04
2020-11-03,GS,190.2
2020-11-04,GS,197.93
2020-11-05,GS,197.87
2020-11-06,GS,202.96
2020-11-09,GS,201.26
2020-11-10,GS,214.93
2020-11-11,GS,217.47
2020-11-12,GS,218.05
2020-11-13,GS,214.51
2020-11-16,GS,219.08
2020-11-17,GS,222.38
2020-11-18,GS,224.65
2020-11-19,GS,224.3
2020-11-20,GS,224.57
2020-11-23,GS,223.35
2020-11-24,GS,228.83
2020-11-25,GS,237.5
2020-11-27,GS,236.54
2020-11-30,GS,235.4
2020-12-01,GS,233.74
2020-12-02,GS,232.08
2020-12-03,GS,237.65
2020-12-04,GS,235.47
2020-12-07,GS,239.58
2020-12-08,GS,238.45
2020-12-09,GS,238.84
2020-12-10,GS,242.82
2020-12-11,GS,244.4
2020-12-14,GS,239.99
2020-12-15,GS,237.79
2020-12-16,GS,242.43
2020-12-17,GS,243.77
2020-12-18,GS,244.43
2020-12-21,GS,242.13
2020-12-22,GS,256.98
2020-12-23,GS,250.09
2020-12-24,GS,256.45
2020-12-28,GS,256.16
2020-12-29,GS,259.59
2020-12-30,GS,258.01
2020-12-31,GS,259.45
2021-01-04,GS,263.71
2021-01-05,GS,265.0
2021-01-06,GS,270.93
2021-01-07,GS,285.55
2021-01-08,GS,291.65
2021-01-11,GS,290.08
2021-01-12,GS,293.83
2021-01-13,GS,302.21
2021-01-14,GS,302.94
2021-01-15,GS,307.87
2021-01-19,GS,301.01
2021-01-20,GS,294.2
2021-01-21,GS,290.47
2021-01-22,GS,289.37
2021-01-25,GS,289.39
2021-01-26,GS,283.04
2021-01-27,GS,281.76
2021-01-28,GS,273.33
2021-01-29,GS,275.02
2021-02-01,GS,271.17
2021-02-02,GS,274.73
2021-02-03,GS,286.97
2021-02-04,GS,288.55
2021-02-05,GS,293.75
2021-02-08,GS,293.5
2021-02-09,GS,300.15
2021-02-10,GS,300.46
2021-02-12,GS,302.32
2021-02-16,GS,306.32
2021-02-17,GS,311.96
2021-02-18,GS,312.74
2021-02-19,GS,309.9
2021-02-22,GS,315.62
2021-02-23,GS,316.87
2021-02-24,GS,319.21
2021-02-25,GS,330.64
2021-02-26,GS,327.76
2021-03-01,GS,328.84000000000003
2021-03-02,GS,329.92
2021-03-03,GS,330.94
2021-03-04,GS,334.43
2021-03-05,GS,329.29
2021-03-08,GS,327.37
2021-03-09,GS,334.19
2021-03-10,GS,330.59
2021-03-15,GS,348.81
2021-03-16,GS,346.05
2021-03-17,GS,341.71
2021-03-18,GS,344.95
2021-03-19,GS,348.0
2021-03-22,GS,344.2
2021-03-23,GS,339.33
2021-03-24,GS,331.77
2021-03-25,GS,328.65
2021-03-26,GS,330.55
2021-03-29,GS,327.39
2021-04-01,GS,327.0
2021-04-05,GS,327.64
2021-04-06,GS,323.54
2021-04-07,GS,327.06
2021-04-08,GS,326.55
2021-04-09,GS,331.14
2021-04-12,GS,330.81
2021-04-13,GS,331.84
2021-04-14,GS,327.68
2021-04-15,GS,335.35
2021-04-16,GS,338.55
2021-04-19,GS,342.31
2021-04-20,GS,343.09
2021-04-21,GS,331.88
2021-04-22,GS,335.27
2021-04-23,GS,330.85
2021-04-26,GS,339.35
2021-04-27,GS,343.52
2021-04-28,GS,346.63
2021-04-29,GS,348.11
2021-04-30,GS,352.97
2021-05-03,GS,348.45
2021-05-04,GS,350.16
2021-05-05,GS,349.84
2021-05-06,GS,357.62
2021-05-07,GS,365.97
2021-05-10,GS,370.89
2021-05-11,GS,368.68
2021-05-12,GS,359.92
2021-05-13,GS,354.4
2021-05-14,GS,358.81
2021-05-17,GS,368.77
2021-05-18,GS,369.25
2021-05-19,GS,364.56
2021-05-20,GS,358.38
2021-05-21,GS,359.78
2021-05-24,GS,366.26
2021-05-25,GS,368.29
2021-05-26,GS,364.51
2021-05-27,GS,367.4
2021-05-28,GS,371.37
2021-06-01,GS,372.02
2021-06-02,GS,382.44
2021-06-03,GS,383.44
2021-06-04,GS,388.72
2021-06-07,GS,391.45
2021-06-08,GS,388.16
2021-06-09,GS,384.7
2021-06-10,GS,382.78
2021-06-11,GS,373.94
2021-06-14,GS,378.05
2021-06-15,GS,372.92
2021-06-16,GS,371.3
2021-06-17,GS,371.0
2021-06-18,GS,361.5
2021-06-21,GS,348.83
2021-06-22,GS,357.54
2021-06-23,GS,357.53
2021-06-24,GS,361.05
2021-06-25,GS,368.75
2021-06-28,GS,368.77
2021-06-29,GS,368.71
2021-06-30,GS,372.62
2020-06-17,CAT,130.11
2020-06-18,CAT,128.23
2020-06-19,CAT,127.59
2020-06-22,CAT,127.46
2020-06-23,CAT,125.79
2020-06-24,CAT,126.25
2020-06-25,CAT,122.06
2020-06-26,CAT,124.71
2020-06-29,CAT,122.39
